,Day1,无
,对方已上线,中
Miko,阿ho噶！,左
,,
我,？？？,"右,选项,6"
我,笨蛋,"右,选项,13"
,,
Miko,笨蛋,"左,分支6"
,,
我,？？？,"右,选项,8"
我,笨蛋,"右,选项,13"
,,
Miko,喂！,"左,分支8"
Miko,你除了打问号还有没有的回复啊？,左
Miko,真的是笨笨！,左
Miko,我告诉你，阿ho噶就是笨蛋的意思！,"左,23"
,,
Miko,你才是笨蛋！,"左,分支13"
,,
我,你是！,"右,选项,15"
我,我是说阿ho噶的意思是笨蛋,"右,选项,21"
,,
Miko,你是你是你是！,"左,分支15"
Miko,唉我们为什么要互相对骂啊,左
Miko,真是没谁了...,左
,,
我,话说你怎么突然说这个,"右,选项,23"
我,这就是我们的相处方式啊,"右,选项,19"
,,
Miko,鬼才要这样跟你相处咧！,"左,23,分支19"
,,
Miko,我知道啊，所以你是！,"左,23,分支21"
,,
Miko,哎，我给你说，我最近沉迷守望啊,"左,分支23"
Miko,被源氏打死了，他就老是说这句话，我就知道不像好话，后来查了才知道原来就是笨蛋的意思,左
Miko,笨蛋笨蛋，感觉用来说你，应该不算骂人吧？,左
,,
我,被骂笨蛋的是你吧,"右,选项,27"
我,欠打啊你,"右,选项,30"
,,
Miko,哼,"左,分支27"
Miko,你也是阿ho噶哦！,"左,32"
,,
Miko,哈哈哈哈哈哈,"左,32,分支30"
Miko,难道你还不承认？！,"左,分支32"
Miko,哎哎，不闲扯了,左
Miko,垃圾游戏毁我青春！吃枣药丸！,左
Miko,前些天没日没夜修仙,左
43,修仙,词典
Miko,从今天开始要正经做事了,左
,,
我,做什么事？,"右,选项,37"
我,你上次的状况还没告诉我呢,"右,选项,40"
,,
Miko,当然是正经事啊,"左,分支37"
Miko,对了，我还没跟你讲上次的事情呢,"左,42"
,,
Miko,对啊，我先跟你讲讲上次的事情的后续嘛,"左,42,分支40"
,,
Miko,那个书里夹着的tf卡，果然是大叔故意留下的证据，里面全都是违规进行生物实验的记录,"左,分支42"
Miko,叫什么巨大活力...,左
Miko,活性？,左
,,
我,什么鬼...,"右,选项,48"
我,说什么呐你...,"右,选项,48"
,,
Miko,对了，宏观自动化活性智能系统，大概是这个名字,"左,分支48"
Miko,这都是我爸告诉我的，我也不懂他在说什么，不过我爸好像很忧心忡忡的样子,左
Miko,他前些年就在研究这个，但他后来觉得好像有什么时间问题,左
Miko,我也没听懂他说什么，反正他觉得会造成严重的后果,左
Miko,所以他才退出，不愿意继续后面的试验，结果就被非法拘禁了嘛,左
Miko,好在我厉害，顺利救出了我爸,左
,,
我,是是是你厉害,"右,选项,55"
我,那我呢？,"右,选项,56"
,,
Miko,本来就是嘛,"左,分支55"
Miko,好啦，你也帮了不少忙,"左,分支56"
Miko,整件事情都要多谢你帮忙才对，没有你我真的不知道该怎么做,左
Miko,不过咧，你专心听讲嘛，我还有好多事情要告诉你呢,左
,,
我,好好好,"右,选项,60"
我,这话说得还差不多,"右,选项,60"
,,
Miko,我爸那事之后呢，这个实验并没有停止，还在继续秘密地进行实验,"左,分支60"
Miko,就是这位大叔参与的部分，情况就更严重了，已经到了可以实施的程度,左
Miko,唉，我也不知道他们的术语应该怎么说，反正就是类似于试运行的程度了,左
Miko,这时候他发现不对，想要退出，还想举报，又想起之前我父亲警告过的后果，所以他就很害怕,左
Miko,跟我父亲没联系上，就自己拿了实验记录先逃走了,左
Miko,那帮人你是知道的，到处去追他啊，最后在图书馆里追到他了,左
Miko,大叔本来是有心脏病的，结果纠缠的时候就病发了，虽然不是故意杀人，但是那帮坏人还是逃不脱罪责的！,左
Miko,那份证据大叔一直都随身带着，当时情况紧急，他就事先放在书里，投进还书机了,左
Miko,总之是没有让坏人拿到,左
Miko,好在我厉害，哼哼,左
,,
我,你又厉害了,"右,选项,71"
我,那我呢？,"右,选项,75"
,,
Miko,我本来就厉害嘛！,"左,分支71"
Miko,你难道不承认！,左
Miko,不过还是要再夸夸你,"左,78"
,,
Miko,又你！,"左,分支75"
Miko,好啦，再夸你一次！,"左,78"
,,
Miko,能够陪我冒险的人，只有你,"左,分支78"
Miko,领我摆脱困境的，只有你,左
Miko,和我在一起的，也只有你,左
Miko,我们之间，还有什么可说的呢,左
,,
我,泪目~~,"右,选项,83"
我,等一个沟通~~,"右,选项,85"
,,
Miko,好啦好啦，我们一直在一起对不对,"左,88,分支83"
,,
Miko,沟通你个头啦,"左,分支85"
Miko,闭麦了闭麦了,左
Miko,唉，我跟你讲，我现在住在小艾姐家哦！,"左,分支88"
Miko,哈哈哈哈哈哈,左
Miko,不然我怎么可以天天修仙啊,左
Miko,住在家里我爸真是烦都烦死了，这个不行那个不准的,左
Miko,小艾姐就完全不同啦，我现在睡醒了就可以有美美的饭吃，整天打游戏也不会被说,左
,,
我,成天就知道玩,"右,选项,97"
我,你这样给Iris带来很多困扰吧,"右,选项,94"
,,
Miko,哪有？！,"左,分支94"
Miko,小艾姐不知道有多喜欢我，每天都陪我玩，陪我说话，不舍得让我走,左
Miko,再说了,左
Miko,我只是放松一下啦，最重要的是，我要做一件事情,"左,分支97"
Miko,在家里肯定做不成,左
,,
我,什么事啊,"右,选项,100"
我,听上去很神秘的样子,"右,选项,100"
,,
Miko,哎哎，你等等,"左,分支100"
,对方已下线,中
,预计3分钟,"中,0,等待,3"
,对方已上线,中
Miko,刚才是小艾姐去上班了，跟我聊两句,左
Miko,她还真是辛苦啊，白天要去会记师事务所上班，下班后和周末还要去餐厅兼职,左
Miko,谁能想到穿着职业套装的见习会记师，转头就穿着lo裙在餐厅里用意大利语点餐下单呢,左
Miko,我这次住她家，还拿了一瓶我爸的红酒送给她，她一眼都知道这是什么牌子什么酒庄的，她可真厉害,左
,,
我,呃偷你爸的红酒,"右,选项,109"
我,还拿，明明就是偷...,"右,选项,109"
,,
Miko,嗨呀，美少女做的事情，那怎么能叫偷呢...,"左,分支109"
Miko,我爸收藏的酒我也不认识，就拿了一瓶好看的,左
Miko,总之，小艾姐很厉害，我真幸运能遇到她,左
Miko,她成天这么忙，说是为了体验更多的生活方式，一副元气满满的样子,左
Miko,不过我觉得，体验生活的最好方式还是在家里摊着打游戏,左
,,
我,那是你,"右,选项,115"
我,成天就瘫着...,"右,选项,116"
,,
Miko,我怎么了我？！我体验的东西够多了，想体验和不想体验的我都体验了...,"左,分支115"
Miko,哼哼,"左,分支116"
Miko,再说了，我这样有什么不对，我也有我的想法和目标啊,左
Miko,刚才小艾姐说让我跟你问好呢,左
Miko,算了，反正你也不需要,左
,,
我,哎哎等一下,"右,选项,121"
我,小艾姐向我问好？？,"右,选项,124"
,,
Miko,AUV,"左,分支121"
Miko,你还害羞了么，小艾姐知道你的存在的呀,"左,128"
,,
Miko,什么小艾姐？,"左,分支124"
Miko,别乱叫哦，小艾姐这个称呼我才可以叫哦,左
Miko,请叫Iris,"左,128"
,,
Miko,我把我们认识、我们经历的什么的都告诉小艾姐了,"左,分支128"
Miko,小艾姐是我朋友，你是我朋友，你们互相知道，也很正常对不对,左
Miko,不说这个了，我这次住到小艾姐家就是想做一件事,左
Miko,我觉得上次大叔和他们实验的事情还没有完,左
Miko,虽然说那些动手的坏人都被抓住了，但是这个实验背后到底要怎样，还不知道,左
Miko,警察是在调查，不过我觉得我也可以做一点事情,左
,,
我,你不要搞事情啊,"右,选项,135"
我,你要干嘛？,"右,选项,136"
,,
Miko,哪有什么搞事情嘛,"左,分支135"
Miko,我是真心想知道后面的事情，好奇心重，你又不是不知道,"左,分支136"
Miko,你放心啦，我知道你担心我，不过我很聪明的！,左
