,对方已上线,中
Miko,哈喽！,左
Miko,还活着吗？,左
Miko,喂喂！,左
,,
我,活着啊...,"右,选项,18"
我,终于肯回我了,"右,选项,18"
,,
Miko,对了，你猜猜我现在在干嘛,"左,分支18"
,,
我,玩呗，还能干嘛,"右,选项,20"
我,猜不到,"右,选项,20"
,,
Miko,当然是玩，还能最后玩几天了,"左,分支20"
Miko,不过你肯定猜不到我在玩什么,左
E2-01,全部是漂亮的小姐姐啊,动态
Miko,你看看我动态就知道了！,左
Miko,我带小艾姐姐来lo娘茶会啦！,左
Miko,莱恩旧梦这里的lo娘茶会要办好几天呢,左
Miko,我想小艾姐真是好人，又那么喜欢lo裙，那我就带她一起来玩啦,左
,,
我,太好了,"右,选项,30"
我,真漂亮,"右,选项,30"
,,
Miko,不过你知道吗，今天才有空跟小艾姐好好聊聊，觉得她好厉害,"左,分支30"
Miko,她上学的时候就一直在外面各种打工实习，经历不少事情了，社会经验比我丰富多了,左
Miko,而且她现在虽然还是大四实习，但是已经跟会计师事务所签约了呢，毕业就会去工作了,左
Miko,会计师，数学，想想我都崩溃了,左
Miko,真是好厉害，想不到这么漂亮的小姐姐居然数学这么厉害...,左
,,
我,我数学也一般般，就经常考个140左右,"右,选项,36"
我,我一看公式就头疼,"右,选项,43"
,,
Miko,我不跟你计较！,"左,分支36"
我,不会真的有人数学不及格吧,右
Miko,你闭嘴，别凡尔赛了,左
Miko,数学差并不是我的错，是学校不对！ 就根本不应该让不适合的人学数学嘛,左
Miko,小艾姐这样数学天才就应该在数学上发挥才能，而我就应该在...,左
我,继续说啊,右
Miko,混蛋！,左
Miko,不要拿数学来戳我！,"左,49"
,,
Miko,是吧！,"左,分支43"
Miko,我也是，同病相怜啊,左
Miko,有的人就是不适合学数学嘛，天生对数字就不敏感,左
,,
我,对啊，密码猜不出来就随便按按,"右,选项,46"
我,按错密码反正也不会爆炸对不对,"右,选项,46"
,,
Miko,喂！,"左,分支46"
Miko,你又来了！,"左,49"
,,
Miko,不跟你扯了！,"左,分支49"
Miko,我跟你说，我跟小艾姐聊天我才知道,左
Miko,她的英文名字念起来虽然也跟爱丽丝差不多，但并不是alice，而是Iris,左
Miko,是鸢尾花，拉丁语的鸢尾花,左
